"","date","count","death_03da","death_05da","death_07da","death_10da","death_15da","death_21da","year(date)","cmsum","month"
"2208",2021-07-31,3,2.66666666666667,2,2.28571428571429,2.5,2.33333333333333,2.52380952380952,2021,556,"July"
"2209",2021-08-03,4,2.66666666666667,2.8,2.42857142857143,2.1,2.53333333333333,2.38095238095238,2021,560,"August"
"2210",2021-08-04,1,3.33333333333333,3,2.42857142857143,2.2,2.66666666666667,2.38095238095238,2021,561,"August"
"2211",2021-08-05,5,2.66666666666667,2.6,2.57142857142857,2.5,2.6,2.47619047619048,2021,566,"August"
"2212",2021-08-06,2,2.66666666666667,2.2,2.42857142857143,2.8,2.26666666666667,2.57142857142857,2021,568,"August"
"2213",2021-08-07,1,1.66666666666667,2.4,2.42857142857143,2.7,2.4,2.52380952380952,2021,569,"August"
"2214",2021-08-08,2,1.66666666666667,2.2,2.85714285714286,2.4,2.53333333333333,2.71428571428571,2021,571,"August"
"2215",2021-08-09,2,2.66666666666667,2.6,2.42857142857143,2.6,2.66666666666667,2.47619047619048,2021,573,"August"
"2216",2021-08-10,4,3.33333333333333,2.8,2.28571428571429,2.4,2.53333333333333,2.52380952380952,2021,577,"August"
"2217",2021-08-11,4,3.33333333333333,2.6,2.57142857142857,2.5,2.73333333333333,2.57142857142857,2021,581,"August"
"2218",2021-08-12,2,2.33333333333333,2.8,2.71428571428571,2.5,2.73333333333333,2.61904761904762,2021,583,"August"
"2219",2021-08-13,1,2,2.6,2.85714285714286,3,2.53333333333333,2.57142857142857,2021,584,"August"
"2220",2021-08-14,3,2.33333333333333,2.4,2.42857142857143,2.9,2.53333333333333,2.57142857142857,2021,587,"August"
"2221",2021-08-15,3,3,2.2,2.85714285714286,2.7,2.6,2.80952380952381,2021,590,"August"
"2222",2021-08-16,3,2.33333333333333,3.4,2.71428571428571,2.5,2.6,2.76190476190476,2021,593,"August"
"2223",2021-08-17,1,3.66666666666667,3,2.85714285714286,2.5,2.73333333333333,3,2021,594,"August"
"2224",2021-08-18,7,3,2.8,2.71428571428571,2.6,2.86666666666667,3.14285714285714,2021,601,"August"
"2225",2021-08-19,1,3.33333333333333,2.6,2.57142857142857,2.7,2.86666666666667,3.28571428571429,2021,602,"August"
"2226",2021-08-20,2,1.66666666666667,2.8,2.42857142857143,3,3.2,3.33333333333333,2021,604,"August"
"2227",2021-08-21,2,2,1.8,2.85714285714286,3.1,3.4,3.28571428571429,2021,606,"August"
"2228",2021-08-22,2,2,2.4,2.71428571428571,3.7,3.53333333333333,3.14285714285714,2021,608,"August"
"2229",2021-08-23,2,2.66666666666667,3.2,3.14285714285714,3.4,3.53333333333333,3.38095238095238,2021,610,"August"
"2230",2021-08-24,4,4,3.6,3.85714285714286,3.8,3.53333333333333,3.38095238095238,2021,614,"August"
"2231",2021-08-25,6,4.66666666666667,4.6,4.14285714285714,3.9,3.53333333333333,3.47619047619048,2021,620,"August"
"2232",2021-08-26,4,5.66666666666667,5,4.57142857142857,4,3.53333333333333,3.52380952380952,2021,624,"August"
"2233",2021-08-27,7,5,5.2,4.71428571428571,3.9,3.53333333333333,3.42857142857143,2021,631,"August"
"2234",2021-08-29,4,5.33333333333333,4.6,4.57142857142857,4.4,3.73333333333333,3.47619047619048,2021,635,"August"
"2235",2021-08-30,5,4,4.4,3.85714285714286,4.1,3.86666666666667,3.28571428571429,2021,640,"August"
"2236",2021-08-31,3,3.66666666666667,3.2,4.28571428571429,4,3.8,3.38095238095238,2021,643,"August"
"2237",2021-09-01,3,2.33333333333333,3.8,3.42857142857143,4,3.8,3.33333333333333,2021,646,"September"
"2238",2021-09-02,1,3.66666666666667,3,3.57142857142857,3.4,3.73333333333333,3.38095238095238,2021,647,"September"
