"","year","state","count","straight_percentage","population","percent_pop","weight_percent","per_capita","per_million"
"212",2019,"GA",35,0.0376,10711908,0.0323,0.0376,3.26739176624743e-06,3.26739176624743
"213",2019,"HI",7,0.0075,1455271,0.0044,0.0075,4.8101006616637e-06,4.8101006616637
"214",2019,"IA",5,0.0054,3190369,0.0096,0.0054,1.5672168329118e-06,1.5672168329118
"215",2019,"ID",7,0.0075,1839106,0.0055,0.0075,3.8061971414372e-06,3.8061971414372
"216",2019,"IL",13,0.0139,12812508,0.0387,0.0139,1.0146335128142e-06,1.0146335128142
"217",2019,"IN",16,0.0172,6785528,0.0205,0.0172,2.35795946903469e-06,2.35795946903469
"218",2019,"KS",9,0.0097,2937880,0.0089,0.0097,3.06343349626261e-06,3.06343349626261
"219",2019,"KY",14,0.015,4505836,0.0136,0.015,3.1070815715441e-06,3.1070815715441
"220",2019,"LA",20,0.0215,4657757,0.0141,0.0215,4.29391228438925e-06,4.29391228438925
"221",2019,"MA",3,0.0032,7029917,0.0212,0.0032,4.26747570419395e-07,0.426747570419395
"222",2019,"MD",18,0.0193,6177224,0.0186,0.0193,2.91393027029617e-06,2.91393027029617
"223",2019,"ME",3,0.0032,1362359,0.0041,0.0032,2.20206274557587e-06,2.20206274557587
"224",2019,"MI",13,0.0139,10077331,0.0304,0.0139,1.29002411452001e-06,1.29002411452001
"225",2019,"MN",11,0.0118,5706494,0.0172,0.0118,1.92762841772899e-06,1.92762841772899
"226",2019,"MO",28,0.03,6154913,0.0186,0.03,4.54921133734953e-06,4.54921133734953
"227",2019,"MS",16,0.0172,2961279,0.0089,0.0172,5.40307076773246e-06,5.40307076773246
"228",2019,"MT",6,0.0064,1084225,0.0033,0.0064,5.53390670755609e-06,5.53390670755609
"229",2019,"NC",32,0.0343,10439388,0.0315,0.0343,3.06531379042526e-06,3.06531379042526
"230",2019,"NE",6,0.0064,1961504,0.0059,0.0064,3.05887726968693e-06,3.05887726968693
"231",2019,"NH",2,0.0021,1377529,0.0042,0.0021,1.45187506034356e-06,1.45187506034356
"232",2019,"NJ",12,0.0129,9288994,0.028,0.0129,1.29185141038954e-06,1.29185141038954
"233",2019,"NM",13,0.0139,2117522,0.0064,0.0139,6.13925144579372e-06,6.13925144579372
"234",2019,"NV",11,0.0118,3104614,0.0094,0.0118,3.54311357225085e-06,3.54311357225085
"235",2019,"NY",20,0.0215,20201249,0.0609,0.0215,9.90037794197774e-07,0.990037794197774
"236",2019,"OH",24,0.0258,11799448,0.0356,0.0258,2.03399345460906e-06,2.03399345460906
"237",2019,"OK",32,0.0343,3959353,0.0119,0.0343,8.08212856999616e-06,8.08212856999616
"238",2019,"OR",18,0.0193,4237256,0.0128,0.0193,4.24803221707633e-06,4.24803221707633
"239",2019,"PA",14,0.015,13002700,0.0392,0.015,1.07669945472863e-06,1.07669945472863
"240",2019,"SC",17,0.0182,5118425,0.0154,0.0182,3.32133419948519e-06,3.32133419948519
"241",2019,"SD",3,0.0032,886667,0.0027,0.0032,3.38345737464008e-06,3.38345737464008
"242",2019,"TN",31,0.0333,6910840,0.0209,0.0333,4.48570651324586e-06,4.48570651324586
"243",2019,"TX",97,0.1041,29145505,0.0879,0.1041,3.32812898592768e-06,3.32812898592768
"244",2019,"UT",12,0.0129,3271616,0.0099,0.0129,3.66791212660655e-06,3.66791212660655
"245",2019,"VA",9,0.0097,8631393,0.026,0.0097,1.04270538950086e-06,1.04270538950086
"246",2019,"VT",3,0.0032,643077,0.0019,0.0032,4.66507121231206e-06,4.66507121231206
"247",2019,"WA",33,0.0354,7705281,0.0232,0.0354,4.28277696815989e-06,4.28277696815989
"248",2019,"WI",17,0.0182,5893718,0.0178,0.0182,2.88442711375061e-06,2.88442711375061
"249",2019,"WV",12,0.0129,1793716,0.0054,0.0129,6.69002227777419e-06,6.69002227777418
"250",2019,"WY",1,0.0011,576851,0.0017,0.0011,1.73354991150228e-06,1.73354991150228
"251",2020,"AK",9,0.0093,733391,0.0022,0.0093,1.22717622659673e-05,12.2717622659673
"252",2020,"AL",14,0.0145,5024279,0.0152,0.0145,2.78646946158842e-06,2.78646946158842
"253",2020,"AR",11,0.0114,3011524,0.0091,0.0114,3.65263567549188e-06,3.65263567549188
"254",2020,"AZ",43,0.0445,7151502,0.0216,0.0445,6.01272292170232e-06,6.01272292170232
"255",2020,"CA",137,0.1417,39538223,0.1193,0.1417,3.46500144935699e-06,3.46500144935699
"256",2020,"CO",38,0.0393,5773714,0.0174,0.0393,6.58155218633968e-06,6.58155218633968
"257",2020,"CT",5,0.0052,3605944,0.0109,0.0052,1.38659945911528e-06,1.38659945911528
"258",2020,"DC",1,0.001,689545,0.0021,0.001,1.45023167451e-06,1.45023167451
"259",2020,"DE",2,0.0021,989948,0.003,0.0021,2.02030813739712e-06,2.02030813739712
"260",2020,"FL",83,0.0858,21538187,0.065,0.0858,3.85362054847049e-06,3.85362054847049
"261",2020,"GA",40,0.0414,10711908,0.0323,0.0414,3.73416201856849e-06,3.73416201856849
"262",2020,"HI",2,0.0021,1455271,0.0044,0.0021,1.37431447476106e-06,1.37431447476106
"263",2020,"IA",6,0.0062,3190369,0.0096,0.0062,1.88066019949417e-06,1.88066019949417
"264",2020,"ID",6,0.0062,1839106,0.0055,0.0062,3.26245469266046e-06,3.26245469266046
"265",2020,"IL",13,0.0134,12812508,0.0387,0.0134,1.0146335128142e-06,1.0146335128142
"266",2020,"IN",25,0.0259,6785528,0.0205,0.0259,3.6843116703667e-06,3.6843116703667
"267",2020,"KS",7,0.0072,2937880,0.0089,0.0072,2.38267049709314e-06,2.38267049709314
"268",2020,"KY",19,0.0196,4505836,0.0136,0.0196,4.21675356138128e-06,4.21675356138128
"269",2020,"LA",20,0.0207,4657757,0.0141,0.0207,4.29391228438925e-06,4.29391228438925
"270",2020,"MA",6,0.0062,7029917,0.0212,0.0062,8.53495140838789e-07,0.853495140838789
"271",2020,"MD",13,0.0134,6177224,0.0186,0.0134,2.1045051952139e-06,2.1045051952139
"272",2020,"ME",4,0.0041,1362359,0.0041,0.0041,2.93608366076783e-06,2.93608366076783
"273",2020,"MI",15,0.0155,10077331,0.0304,0.0155,1.4884893629077e-06,1.4884893629077
"274",2020,"MN",8,0.0083,5706494,0.0172,0.0083,1.40191157653018e-06,1.40191157653018
"275",2020,"MO",24,0.0248,6154913,0.0186,0.0248,3.89932400344245e-06,3.89932400344245
"276",2020,"MS",8,0.0083,2961279,0.0089,0.0083,2.70153538386623e-06,2.70153538386623
"277",2020,"MT",10,0.0103,1084225,0.0033,0.0103,9.22317784592681e-06,9.22317784592681
"278",2020,"NC",33,0.0341,10439388,0.0315,0.0341,3.16110484637605e-06,3.16110484637605
